ID,x,y,Order
20230314113311129,985.4,720.16,1
20230314113311129,715.11,928.3,2
20230314113311129,761.39,1026.49,3
20230314113311129,441.82,759.23,7
20230314113311129,764.62,986.79,8
20230314113311129,39.11,622.6,10
20230314113311129,159.58,597.96,11
20230314113311129,93.74,230.5,12
20230314113311129,214.47,301.14,13
20230314113311129,470.34,225.58,14
20230314113311129,818.18,424.16,15
20230314113311129,1067.2,348.73,16
20230314113311129,1504.09,436.28,17
20230314115057038,1343.42,710.48,1
20230314115057038,1320.97,809.1,2
20230314115057038,1605.82,146.89,3
20230314115057038,1728.63,74.4,4
20230314115057038,1457.91,101.09,5
20230314115057038,1372.84,84.62,6
20230314115057038,840.65,133.88,7
20230314115057038,591.78,37.54,8
20230314115057038,189.44,69.95,9
20230314115057038,139.81,734.58,10
20230314115057038,172.88,831.96,11
20230314115057038,362.92,886.18,12
20230314115057038,1044.32,806.91,13
20230314115057038,823.55,716.53,14
20230314115057038,816.93,583.91,15
20230314115057038,1657.59,104.41,16
20230314115057038,1755.31,40.45,17
20230314115057038,1451.43,89.87,18
20230314115611868,419.65,352.83,1
20230314115611868,326.45,391.39,2
20230314115611868,307.71,238.65,3
20230314115611868,333.28,444.63,4
20230314115611868,442.05,507.54,5
20230314115611868,287.02,514.39,6
20230314115611868,828.52,568.94,7
20230314115611868,1059.08,589.14,8
20230314115611868,1318.28,945.71,9
20230314115611868,1044.21,1005.56,10
20230314115611868,1649.0,279.48,11
20230314115611868,1427.63,260.93,12
20230314115611868,1472.92,325.28,13
20230314115611868,1736.83,192.17,14
20230314115611868,522.44,126.42,15
20230314115611868,343.47,198.91,16
20230314115611868,213.94,183.54,17
20230314115611868,195.2,203.27,18
20230314120103643,907.47,914.71,1
20230314120103643,1005.93,168.96,2
20230314120103643,948.43,255.24,3
20230314120103643,420.01,364.01,4
20230314120103643,404.34,237.95,5
20230314120103643,443.49,253.98,6
20230314120103643,435.27,506.1,7
20230314120103643,546.37,674.89,8
20230314120103643,904.28,855.14,9
20230314120103643,910.29,707.79,10
20230314120103643,1356.43,884.53,11
20230314120103643,1352.81,963.1,12
20230314120103643,1596.5,301.63,13
20230314120103643,1455.24,296.01,14
20230314120103643,1725.87,225.8,15
20230314120103643,1612.43,279.83,16
20230314120103643,960.96,220.87,17
20230314120103643,1476.18,255.96,18
20230314120503166,677.8,729.16,1
20230314120503166,1157.12,759.63,2
20230314120503166,1132.57,924.59,3
20230314120503166,1195.47,137.17,4
20230314120503166,894.19,187.08,5
20230314120503166,1383.96,243.08,6
20230314120503166,1546.96,170.99,7
20230314120503166,405.81,60.22,8
20230314120503166,148.96,203.7,9
20230314120503166,231.87,215.51,10
20230314120503166,222.27,840.64,11
20230314120503166,227.0,521.45,12
20230314120503166,104.81,921.69,13
20230314120503166,280.4,976.2,14
20230314120503166,927.97,968.99,15
20230314120503166,1062.62,891.92,16
20230314120503166,1139.24,894.79,17
20230314120503166,694.12,906.87,18
20230314120855847,789.34,883.27,1
20230314120855847,1200.48,952.89,2
20230314120855847,1275.66,954.49,3
20230314120855847,1430.7,243.45,4
20230314120855847,1056.72,543.13,5
20230314120855847,889.03,654.94,6
20230314120855847,756.44,924.33,7
20230314120855847,805.33,980.95,8
20230314120855847,800.33,917.55,9
20230314120855847,816.38,1003.68,10
20230314120855847,580.76,207.51,11
20230314120855847,365.21,283.55,12
20230314120855847,297.65,264.23,13
20230314120855847,262.54,544.51,14
20230314120855847,245.25,597.18,15
20230314120855847,71.8,999.22,16
20230314120855847,1063.73,170.34,17
20230314120855847,1377.83,365.63,18
20230314123253718,1337.32,844.15,1
20230314123253718,1306.89,886.18,2
20230314123253718,781.35,117.75,3
20230314123253718,543.36,53.59,4
20230314123253718,353.97,157.13,5
